Train,Test,MAE,MdAE,SA
mesos,usergrid,1.37,1.06,39.19
usergrid,mesos,1.45,1.2,40.64
appceleratorstudio,aptanastudio,1.53,1.23,66.62
appceleratorstudio,titanium,1.7,1.45,62.93
titanium,appceleratorstudio,2.65,2.19,44.29
aptanastudio,titanium,3.48,2.8,48.17
mule,mulestudio,2.73,2.52,33.71
mulestudio,mule,3.87,3.04,39.99
clover,usergrid,4.17,2.55,6.6
talendesb,mesos,1.07,0.87,30.58
talenddataquality,aptanastudio,3.71,3.4,-27.29
mule,titanium,2.68,2.33,35.1
talenddataquality,appceleratorstudio,3.92,3.91,-34.41
mulestudio,titanium,3.85,3.12,40.32
appceleratorstudio,mulestudio,1.74,1.54,61.97
appceleratorstudio,mule,1.91,1.71,58.32
