Train,Test,Llama3.2,Llama3.2+SPWordLevel,Llama3.2+SPWordPiece,Llama3.2+SPSentencePiece
mesos,usergrid,1.05,1.16,1.03,0.67
usergrid,mesos,1.34,1.29,1.26,0.97
appceleratorstudio,aptanastudio,3.12,3.69,2.74,2.69
appceleratorstudio,titanium,2.32,2.2,2.29,2.39
titanium,appceleratorstudio,1.88,1.98,1.66,1.76
aptanastudio,titanium,2.78,2.65,3.75,2.91
mule,mulestudio,2.53,2.54,2.34,1.99
mulestudio,mule,2.54,2.69,2.46,2.86
clover,usergrid,1.67,2.39,1.58,1.25
talendesb,mesos,1.01,1.63,1.0,1.06
talenddataquality,aptanastudio,3.48,3.26,3.16,3.21
mule,titanium,2.13,2.16,2.29,2.15
talenddataquality,appceleratorstudio,2.08,2.11,2.38,1.93
mulestudio,titanium,2.79,2.61,2.52,3.45
appceleratorstudio,mulestudio,2.39,2.44,2.53,2.46
appceleratorstudio,mule,2.35,2.36,2.73,2.44
