Project,Llama3.2,Llama3.2+SPWordLevel,Llama3.2+SPWordPiece,Llama3.2+SPSentencePiece
appceleratorstudio,1.65,1.5,1.67,1.64
aptanastudio,3.74,3.76,4.04,3.74
bamboo,1.1,1.43,1.17,0.97
clover,4.08,4.9,3.84,3.82
datamanagement,6.45,16.78,6.78,7.17
duracloud,1.05,1.36,1.29,1.1
jirasoftware,2.05,2.32,2.13,1.9
mesos,1.38,1.51,1.19,1.29
moodle,11.61,11.64,13.8,11.22
mule,2.65,2.69,2.8,2.51
mulestudio,3.7,3.56,3.84,3.81
springxd,2.07,1.93,1.85,1.7
talenddataquality,3.79,4.67,3.76,3.92
talendesb,1.08,1.71,1.05,1.0
titanium,2.46,2.34,2.47,2.32
usergrid,1.51,1.52,1.37,1.37
