Source,Target,Method,MAE,MdAE,SA,GPT2SP_vs
mesos,usergrid,GPT2SP,1.11,0.84,42.49,(ME) (UG)
mesos,usergrid,Deep-SE,1.16,0.96,39.84,0.049 (0.53) N
mesos,usergrid,Mean,1.02,0.19,46.99,0.998 (0.45) -
mesos,usergrid,Median,0.89,0.00,54.10,1.000 (0.37) -
usergrid,mesos,GPT2SP,1.52,0.92,15.64,(UG) (ME)
usergrid,mesos,Deep-SE,1.51,1.01,16.18,0.662 (0.50) -
usergrid,mesos,Mean,1.52,0.80,15.57,0.325 (0.50) -
usergrid,mesos,Median,1.50,1.00,16.27,0.692 (0.50) -
appceleratorstudio,aptanastudio,GPT2SP,4.62,3.37,7.99,(AS) (AP)
appceleratorstudio,aptanastudio,Deep-SE,4.37,2.98,12.99,1.000 (0.45) -
appceleratorstudio,aptanastudio,Mean,4.27,2.18,15.05,0.992 (0.47) -
appceleratorstudio,aptanastudio,Median,4.38,3.00,12.73,1.000 (0.43) -
appceleratorstudio,titanium,GPT2SP,3.28,2.47,22.60,(AS) (TI)
appceleratorstudio,titanium,Deep-SE,3.38,2.39,20.31,0.253 (0.51) -
appceleratorstudio,titanium,Mean,3.45,2.82,18.69,<0.001 (0.56) N
appceleratorstudio,titanium,Median,3.17,2.00,25.24,1.000 (0.44) -
titanium,appceleratorstudio,GPT2SP,2.86,2.45,45.15,(AP) (AS)
titanium,appceleratorstudio,Deep-SE,2.70,2.07,48.25,1.000 (0.47) -
titanium,appceleratorstudio,Mean,3.38,3.24,35.20,<0.001 (0.58) N
titanium,appceleratorstudio,Median,3.17,3.00,39.30,<0.001 (0.55) N
aptanastudio,titanium,GPT2SP,4.09,3.52,30.38,(AP) (TI)
aptanastudio,titanium,Deep-SE,3.51,2.53,40.34,1.000 (0.39) -
aptanastudio,titanium,Mean,4.36,4.24,25.78,<0.001 (0.56) N
aptanastudio,titanium,Median,4.19,4.00,28.67,0.004 (0.52) N
mule,mulestudio,GPT2SP,3.48,2.29,21.32,(MU) (MS)
mule,mulestudio,Deep-SE,3.64,2.04,17.61,0.206 (0.51) -
mule,mulestudio,Mean,3.34,2.71,24.42,0.943 (0.48) -
mule,mulestudio,Median,3.26,3.00,26.26,0.999 (0.45) -
mulestudio,mule,GPT2SP,3.03,2.65,30.27,(MS) (MU)
mulestudio,mule,Deep-SE,2.77,2.47,36.28,0.985 (0.47) -
mulestudio,mule,Mean,3.05,1.77,29.83,0.078 (0.52) -
mulestudio,mule,Median,2.60,3.00,40.24,1.000 (0.43) -
