Train,Test,MAE,MdAE
mesos,usergrid,1.25,0.99
usergrid,mesos,1.65,1.3
appceleratorstudio,aptanastudio,4.63,3.41
appceleratorstudio,titanium,3.28,2.22
titanium,appceleratorstudio,2.65,1.94
aptanastudio,titanium,4.39,3.88
mule,mulestudio,3.61,2.49
mulestudio,mule,3.09,2.63
clover,usergrid,2.05,1.85
talendesb,mesos,1.57,0.98
talenddataquality,aptanastudio,4.21,3.05
mule,titanium,3.51,2.2
talenddataquality,appceleratorstudio,2.46,1.9
mulestudio,titanium,3.77,2.78
appceleratorstudio,mulestudio,3.61,2.43
appceleratorstudio,mule,2.8,2.42
