Project,SP_mean,SP_std,GPT2SP,DeepSE,LSTM+RF,LSTM+SVM,Doc2Vec+RF,BOW+RF,LSTM+ATLM,LSTM+LR,Median,Mean,Llama3SP,Llama3.2+SPWordLevel,Llama3.2+SPWordPiece,Llama3.2+SPSentencePiece,Llama3.2_Custom
appceleratorstudio,5.64,3.33,1.53,1.36,1.62,1.46,1.62,1.83,1.59,1.68,1.84,2.08,1.65,1.5,1.67,1.64,1.59
aptanastudio,8.02,5.95,3.52,2.71,2.96,3.06,3.2,2.97,3.06,3.75,3.71,3.15,3.74,3.76,4.04,3.74,3.89
bamboo,2.42,2.14,0.77,0.74,1.01,0.81,1.12,1.34,1.97,1.26,1.32,1.75,1.1,1.43,1.17,0.97,1.11
clover,4.59,6.55,3.76,2.11,3.08,2.5,3.16,2.98,3.11,3.36,2.84,3.49,4.08,4.9,3.84,3.82,3.99
datamanagement,9.57,16.61,5.39,3.77,4.51,4.2,4.71,4.78,4.7,5.3,4.82,5.29,6.45,16.78,6.78,7.17,5.84
duracloud,2.13,2.03,0.8,0.68,0.69,0.75,0.77,0.96,0.87,0.8,0.73,1.3,1.05,1.36,1.29,1.1,1.01
jirasoftware,4.43,3.51,1.57,1.38,1.71,2.04,2.1,2.1,2.1,2.1,2.93,2.48,2.05,2.32,2.13,1.9,2.38
mesos,3.09,2.42,1.21,1.02,1.08,1.07,1.14,1.31,1.08,1.1,1.73,1.64,1.38,1.51,1.19,1.29,1.27
moodle,15.54,21.65,8.38,5.97,9.86,6.7,8.02,10.2,9.97,9.97,7.18,10.9,11.61,11.64,13.8,11.22,13.9
mule,5.08,3.5,2.61,2.18,2.2,2.28,2.21,2.31,2.46,2.46,2.69,2.59,2.65,2.69,2.8,2.51,2.76
mulestudio,6.4,5.39,3.7,3.23,3.3,3.31,3.4,3.31,3.42,3.42,3.3,3.34,3.7,3.56,3.84,3.81,3.91
springxd,3.7,3.23,1.78,1.61,1.81,1.8,1.88,1.98,1.83,1.85,2.07,2.27,2.07,1.93,1.85,1.7,1.87
talenddataquality,5.92,5.19,3.65,2.97,3.89,3.49,4.33,4.49,3.86,3.79,3.87,4.81,3.79,4.67,3.76,3.92,4.54
talendesb,2.16,1.5,0.86,0.64,0.66,0.7,0.7,0.86,0.7,0.77,1.16,1.14,1.08,1.71,1.05,1.0,1.06
titanium,6.32,5.1,2.35,1.97,2.32,2.0,2.41,2.58,2.51,2.71,2.47,3.05,2.46,2.34,2.47,2.32,2.6
usergrid,2.85,1.4,1.19,1.03,1.07,1.06,1.12,1.19,1.4,1.4,1.6,1.48,1.51,1.52,1.37,1.37,1.47
